wind;pvo;pva;wave
0.9245559;0.002781424;0.30221444;0.9695853
0.92649245;0.001550737;0.000436335;0.97122431
0.92912501;0;0;0.97300714
0.91939688;0;0;0.97471839
0.90415078;0;0;0.97513461
0.89924455;0;0;0.97577047
0.90184861;0;0;0.97606957
0.90643036;0;0;0.98109192
0.90821803;0;0;0.98314989
0.91727179;0;0.027400652;0.98395443
0.9254474;0.009706531;0.19916393;0.98530906
0.9296959;0.089808896;0.4349966;0.98611528
0.93525714;0.27249929;0.58737117;0.98612976
0.94160032;0.41475755;0.59352833;0.98739415
0.94816339;0.49299306;0.56846976;0.98859745
0.95064944;0.51534182;0.52853733;0.98974591
0.9489789;0.56742537;0.54662287;0.98964405
0.94285548;0.5881685;0.55607432;0.98954219
0.93339622;0.57629019;0.55880129;0.98944026
0.92392856;0.54387039;0.56935084;0.98829412
0.91406846;0.47410971;0.57777017;0.98709422
0.90267491;0.36678407;0.57741517;0.98589426
0.89042968;0.18586378;0.506917;0.98347586
0.87806231;0.027408611;0.34075275;0.98017812
0.86491901;0.00905248;0.1406873;0.97581363
0.85492086;0.000732815;6.82E-05;0.97109574
0.84510934;0;0;0.96637779
0.83322763;0;0;0.96081841
0.81843954;0;0;0.95477307
0.79834026;0;0;0.94516528
0.77231342;0;0;0.93494749
0.74413514;0;0;0.92483747
0.72029024;0;0;0.91282845
0.69786578;5.62E-05;2.26E-02;0.89776719
0.68164575;0.0024444;0.23178329;0.88311327
0.6774838;0.083862782;0.47782618;0.86746228
0.6683287;0.27574632;0.61500716;0.84929144
0.65728921;0.4625966;0.69180453;0.84652382
0.65297192;0.61428374;0.72227997;0.84351659
0.65705955;0.72573292;0.7289542;0.84019804
0.67097723;0.79238784;0.72763658;0.83282602
0.68521404;0.81396139;0.7312156;0.82508099
0.68865347;0.78898263;0.74295104;0.81701124
0.69263721;0.73132449;0.77509147;0.81449175
0.70000428;0.62461042;0.80994511;0.81157315
0.69397777;0.47009689;0.8297835;0.80772167
0.67634559;0.24037221;0.6626125;0.80035573
0.65693021;0.048616476;0.37411198;0.7908271
0.65302724;0.002875576;0.25038034;0.78105801
0.67353803;0.000808566;0.000338539;0.78370786
0.71426791;0;0;0.78631282
0.75358999;0;0;0.78868163
0.78604406;0;0;0.80271983
0.81069982;0;0;0.81575769
0.82201856;0;0;0.82727569
0.82881254;0;0;0.84181553
0.83780771;0;0;0.85689676
0.83499455;0;0.013463432;0.8717252
0.83429068;0.001236636;0.23485474;0.88589633
0.84669685;0.084950045;0.50253749;0.89932686
0.85229057;0.29061207;0.67537123;0.90988839
0.85089535;0.48704839;0.74532878;0.93343127
0.84518105;0.64192599;0.76118827;0.94602841
0.85146028;0.75049078;0.75142443;0.95507151
0.85646141;0.8143481;0.74035984;0.95939016
0.8579936;0.82957411;0.73897719;0.96002817
0.86208516;0.79770708;0.75024492;0.96100181
0.87040687;0.70726871;0.75310755;0.9623366
0.88115805;0.57807529;0.74831408;0.96454781
0.88608986;0.41625857;0.71842134;0.96493232
0.87303841;0.1992901;0.59114981;0.96662766
0.84927881;0.025743583;0.37207085;0.96807188
0.83783388;0.008091886;0.13207117;0.96973521
0.83468211;0.00018672;0.000104153;0.97048372
0.82955307;0;0;0.97083265
0.82345933;0;0;0.97163981
0.81060809;0;0;0.97552627
0.7883209;0;0;0.97770417
0.76706302;0;0;0.97873038
0.75081038;0;0;0.97674358
0.72460032;0;0;0.97423637
0.65447652;3.19E-05;6.56E-04;0.97117931
0.58149898;0.025165707;0.076239847;0.96535516
0.53785223;0.064880721;0.14384301;0.95371699
0.49657062;0.10956909;0.13940385;0.9329409
0.465922;0.19309744;0.21720909;0.91959906
0.43237415;0.27793825;0.29756087;0.90357488
0.42652848;0.36126685;0.3710407;0.884938
0.46284342;0.38700569;0.38825494;0.87190408
0.52031732;0.39337382;0.38896149;0.85707009
0.57894695;0.3806957;0.37722713;0.84174448
0.62197524;0.3394632;0.35154098;0.83203733
0.63705778;0.28505784;0.31936646;0.82223433
0.61682999;0.21593086;0.29658076;0.81253564
0.56920028;0.13901913;0.26805073;0.80173808
0.50738364;0.035704475;0.20746818;0.79065061
0.4459095;0.006322334;0.17796634;0.77920145
0.40347335;0.000688816;7.89E-05;0.77472538
0.39013687;0;0;0.77025467
0.3967362;0;0;0.76581275
0.41070628;0;0;0.75700033
0.43111914;0;0;0.74812317
0.45775607;0;0;0.73929381
0.48414701;0;0;0.73392445
0.51187116;0;0;0.72837079
0.53422886;6.40E-07;8.66E-03;0.72297335
0.55890077;0.005440494;0.18673941;0.71894282
0.58334965;0.078592487;0.38823313;0.71494228
0.59799039;0.24667488;0.50411814;0.71093512
0.60812557;0.39025304;0.54341316;0.71220016
0.62060535;0.48693132;0.55294323;0.71344614
0.63048023;0.53916955;0.54748207;0.71469635
0.63722748;0.58478105;0.56070018;0.71594131
0.64312029;0.59677136;0.56338131;0.71689332
0.64931262;0.57577956;0.55682492;0.71767932
0.65331519;0.53941661;0.56181026;0.71608889
0.65146971;0.46732503;0.56442934;0.71438825
0.65342551;0.35922766;0.56018817;0.7124747
0.65981954;0.19068475;0.44566104;0.71217227
0.67928433;0.037174612;0.27383971;0.71157897
0.71089667;0.009287871;0.13873412;0.71122658
0.74533951;0.000287888;0.000207774;0.7194581
0.77498078;0;0;0.72811282
0.80594009;0;0;0.73687589
0.83569658;0;0;0.75663519
0.85471219;0;0;0.77524638
0.86743575;0;0;0.79280281
0.87639427;0;0;0.82514662
0.8860634;0;0;0.84616601
0.8876586;0;0.012125803;0.85978615
0.89461821;0.003024147;0.18132588;0.86765289
0.90316278;0.079820208;0.38785651;0.87262249
0.90822434;0.2496042;0.50470626;0.87553501
0.90874577;0.38118505;0.52293903;0.8739934
0.90425813;0.45491949;0.51053929;0.8725425
0.89826912;0.4762415;0.48227322;0.87096161
0.88714051;0.53250849;0.51189709;0.8700546
0.86620384;0.56059372;0.5296675;0.86854208
0.845478;0.55695343;0.53876591;0.86572981
0.83630174;0.49739915;0.518242;0.86278927
0.84037995;0.41242945;0.48611861;0.85963762
0.84472406;0.30667549;0.4408071;0.85574031
0.85213864;0.15826827;0.35899848;0.86231983
0.86615527;0.027003368;0.23098063;0.86543167
0.87864679;0.012853398;0.070076026;0.86571097
0.88396555;1.16E-05;8.44E-06;0.87141609
0.88748074;0;0;0.87629545
0.89635783;0;0;0.88140637
0.90851623;0;0;0.88307321
0.9225949;0;0;0.88526285
0.93588322;0;0;0.88748962
0.9408831;0;0;0.88239872
0.93821907;0;0;0.87737596
0.92712694;0;0.004415109;0.87254179
0.92193925;0.01434332;0.11761528;0.86775166
0.92620283;0.074576393;0.25622249;0.86253226
0.93529254;0.18757766;0.31498438;0.85555756
0.94084287;0.2755197;0.33979356;0.85217208
0.93752897;0.31952378;0.34524494;0.84553456
0.92222399;0.32603008;0.3336609;0.83755624
0.89171404;0.34432578;0.34520102;0.84338415
0.84844428;0.34356385;0.34229821;0.84974921
0.81054699;0.32424644;0.32556754;0.85634196
0.78080946;0.2672362;0.27730897;0.85936135
0.77085173;0.20519416;0.21944082;0.86288488
0.78543687;0.14227626;0.16176151;0.86525965
0.82157308;0.079865709;0.11820064;0.8704614
0.87732333;0.015358521;0.083285466;0.87555039
0.93030578;0.005335826;0.024207946;0.87558776
0.96929407;0.000134122;0.000105837;0.89263135
0.9851492;0;0;0.91043681
0.98915958;0;0;0.92750245
0.99145222;0;0;0.95894319
0.99391645;0;0;0.98058611
0.99585134;0;0;0.99602038
0.99698776;0;0;0.99822539
0.99772769;0;0;0.99929577
0.99831647;0;0.010080646;0.9995259
0.99852294;0.001857443;0.20262654;0.99958736
0.99902809;0.073446289;0.44532084;0.99967438
0.99935305;0.26561126;0.61649495;0.99975157
0.99963975;0.38076097;0.52766788;0.99985844
0.99978638;0.39358082;0.43126184;1
0.99968368;0.33070943;0.33939302;1
0.9994784;0.37662783;0.3757149;1
0.99916339;0.40676153;0.39731029;1
0.99870527;0.41489267;0.40834445;1
0.99817288;0.3805666;0.39678976;0.99927878
