wind;pvo;pva;wave
0.95620978;0;0;0.98319095
0.971259;0;0;0.98664439
0.98238409;0;0;0.98938882
0.9903248;0;0;0.99156022
0.99581218;0;0;0.99427795
0.99875593;0;0;0.99572945
0.9995327;0;0;0.99703461
0.99993503;0;0;0.99864566
1;0;0;0.99942434
1;0;0;0.99970472
1;0.01973439;0.02162713;1
0.9999854;0.051748745;0.055746101;1
0.99994266;0.042448629;0.034485668;1
1;0.051446285;0.03974149;1
1;0.044419441;0.044052854;1
1;0.031565785;0.034755211;0.99998486
1;0.001810492;0.002239039;0.99897254
1;0;0;0.99062598
1;0;0;0.96886355
1;0;0;0.966851
1;0;0;0.96017897
0.99998647;0;0;0.94877094
0.99996579;0;0;0.93250299
0.99993068;0;0;0.91547316
0.99989098;0;0;0.89783382
0.99986047;0;0;0.90792435
0.9998672;0;0;0.91760576
0.9998914;0;0;0.92713994
0.99989581;0;0;0.94565368
0.999865;0;0;0.96109581
0.9997865;0;0;0.97412801
0.99967819;0;0;0.98387873
0.99940771;0;0;0.99135506
0.99865198;0;0;0.99583453
0.99745345;0.044452462;0.049128771;0.99669743
0.99534518;0.13149336;0.1283561;0.99749291
0.99228454;0.18988316;0.11090372;0.99817574
0.98845738;0.20098145;0.10333967;0.99927211
0.98597705;0.13460168;0.11943504;0.99993813
0.98605758;0.077182427;0.080967523;1
0.98631006;0.006305545;0.008140585;1
0.9873178;0;0;1
0.98961151;0;0;1
0.99055082;0;0;1
0.9904902;0;0;1
0.98854101;0;0;1
0.9875778;0;0;1
0.98846346;0;0;1
0.99074894;0;0;1
0.99155724;0;0;0.99996483
0.99102151;0;0;0.99982178
0.9914459;0;0;0.99941528
0.99241406;0;0;0.99909759
0.99312943;0;0;0.99936175
0.99472588;0;0;0.99971437
0.9968856;0;0;0.99978256
0.99863362;0;0;0.99975562
0.99948347;0;0;0.99961424
0.99978572;0.020688016;0.02282837;0.99964893
0.99990547;0.048556715;0.053750724;0.99966776
0.99996156;0.040524233;0.03465116;0.99968672
0.99998111;0.041841991;0.033833697;0.99986517
0.99999368;0.027490225;0.029366288;0.99995077
1;0.011838098;0.015093678;1
1;6.05E-05;0.000109769;1
1;0;0;1
1;0;0;1
1;0;0;1
1;0;0;1
1;0;0;1
1;0;0;0.99990261
0.87624699;0;0;0.99816895
0.75111485;0;0;0.99175572
0.87624699;0;0;0.99534082
1;0;0;0.99489993
1;0;0;0.98570704
0.99996197;0;0;0.99762237
0.99933761;0;0;1
0.9956184;0;0;1
0.98838586;0;0;1
0.9805373;0;0;1
0.96509284;0;0;1
0.95939749;0.046215884;0.051072039;1
0.96572506;0.13576122;0.1328789;1
0.97288179;0.20303388;0.11537942;1
0.98027241;0.21092357;0.10785672;1
0.98400491;0.1447822;0.12635402;1
0.98393017;0.086146593;0.08997421;1
0.98179567;0.010415738;0.012833399;1
0.98034817;0;0;0.99998331
0.97935212;0;0;0.99983013
0.97872698;0;0;0.99929345
0.97959965;0;0;0.99821568
0.98138297;0;0;0.99645293
0.9852652;0;0;0.99527514
0.99051124;0;0;0.99320012
0.9942416;0;0;0.99061346
0.9966687;0;0;0.98658812
0.99835682;0;0;0.98064101
0.9994784;0;0;0.97337776
0.99989277;0;0;0.96468133
0.99997443;0;0;0.95414263
0.99999368;0;0;0.94157195
1;0;0;0.92844641
1;0;0;0.91346729
1;0;0;0.89637017
1;0.021635931;0.023779286;0.91957021
1;0.058638234;0.062907085;0.94204539
0.9999842;0.055611011;0.044039436;0.96148157
0.99982309;0.084214926;0.055166814;0.97527087
0.99956393;0.09307193;0.080062032;0.9854908
0.99906349;0.084311008;0.084895037;0.99309814
0.99695468;0.013101661;0.015247956;0.99625528
0.99025631;0;0;0.99774969
0.97554487;0;0;0.99881852
0.9590528;0;0;0.99950373
0.94772452;0;0;0.99993014
0.93530923;0;0;1
0.93018937;0;0;1
0.94715828;0;0;1
0.96024144;0;0;1
0.96688783;0;0;1
0.97040147;0;0;1
0.98192942;0;0;1
0.9929347;0;0;1
0.99813867;0;0;1
0.99961466;0;0;1
0.99992013;0;0;1
0.99998611;0;0;1
1;0;0;1
1;0.02714242;0.031404126;1
1;0.053810365;0.059042137;1
1;0.042987622;0.034234263;1
1;0.043622535;0.033141404;1
1;0.026784739;0.028403044;0.9998399
1;0.013918764;0.016995307;0.99826336
1;0.002159984;0.002566789;0.9974674
1;0;0;0.99667156
1;0;0;0.99587572
1;0;0;0.9941231
1;0;0;0.99203753
0.87624699;0;0;0.98923296
0.75111485;0;0;0.99062544
0.87624699;0;0;0.99101084
1;0;0;0.98907316
1;0;0;0.99986649
1;0;0;1
0.99998879;0;0;1
0.99979293;0;0;1
0.99914193;0;0;1
0.99921948;0;0;1
0.99890459;0;0;1
0.99824947;0;0;1
0.99835998;0;0;1
0.99876356;0.018215872;0.021424593;1
0.99852079;0.043764204;0.049842745;1
0.99754518;0.028569091;0.024274923;1
0.99457937;0.02884255;0.023634683;1
0.9892754;0.018937144;0.020055894;1
0.98018909;0.008345845;0.010586155;1
0.97027099;0.001537573;0.001599109;0.99990821
0.94903338;0;0;0.99988782
0.91257274;0;0;0.99984944
0.88466465;0;0;0.99931192
0.8723411;0;0;0.99838996
0.83518624;0;0;0.99705172
0.82004958;0;0;0.99670196
0.85219628;0;0;0.99629831
0.92650652;0;0;0.99568379
0.9972977;0;0;0.99633288
0.99992472;0;0;0.99645841
1;0;0;0.99661803
1;0;0;0.99853134
1;0;0;0.99843431
1;0;0;0.99681413
1;0;0;0.99934399
0.99995631;0;0;1
0.99963021;0;0;1
0.99908972;0.048190586;0.053281147;1
0.99778986;0.13748604;0.13709337;1
0.99766439;0.20571718;0.11975575;1
0.9981662;0.20863582;0.11174568;1
0.99850333;0.1551276;0.13051581;0.99970591
0.99941099;0.096134618;0.10229119;0.99649048
0.99983341;0.017465867;0.021118414;0.99889374
0.99994391;0;0;1
0.99997646;0;0;1
0.99997652;0;0;1
0.99996418;0;0;1
0.99992388;0;0;1
0.99979967;0;0;1
0.99959844;0;0;1
0.99922359;0;0;1
0.99886769;0;0;1
0.9988063;0;0;1
0.99888009;0;0;1
0.99920785;0;0;1
0.9995364;0;0;1
0.99972451;0;0;1
0.99975055;0;0;1
0.99976557;0;0;1
0.99991292;0;0;1
0.99999017;0.026507616;0.029971171;1
1;0.0494937;0.055417001;1
1;0.033983737;0.028883291;1
1;0.034526713;0.028162412;1
1;0.022124413;0.023677614;1
1;0.009434559;0.012547949;1
1;0.004975577;0.005263797;1
1;0;0;1
1;0;0;1
1;0;0;1
1;0;0;0.99884033
0.87624699;0;0;0.98097867
0.87624699;0;0;0.97994149
1;0;0;0.97819656
1;0;0;0.9752304
1;0;0;0.99104965
0.99999917;0;0;0.99995661
0.99994195;0;0;1
0.99954778;0;0;1
0.99807042;0;0;1
0.99494618;0;0;1
0.99027658;0;0;1
0.98320764;0;0;1
0.97396737;0;0;1
0.9687655;0.052875876;0.059146099;1
0.97177559;0.14420986;0.14490966;1
0.98182815;0.21699801;0.12636161;1
0.99060929;0.20695964;0.11214371;1
0.99452722;0.13896501;0.11745469;1
0.99600595;0.075659387;0.086248174;1
0.99600029;0.019060591;0.023037275;1
0.99529761;0;0;1
0.99440658;0;0;1
0.9943803;0;0;1
0.99593669;0;0;0.99997628
0.99751931;0;0;0.99996507
0.99832779;0;0;0.99997592
0.99840498;0;0;0.99998271
0.99862617;0;0;0.99986136
0.99911982;0;0;0.99980652
0.99958718;0;0;0.99981046
0.99987596;0;0;0.99965298
0.99998569;0;0;0.99990785
1;0;0;0.99991679
1;0;0;0.9997915
1;0;0;0.99997485
1;0;0;0.99810946
0.87486792;0;0;0.98434758
0.75111485;0.041969042;0.047522388;0.91026807
0.70714474;0.090070747;0.095238343;0.78911525
0.70714474;0.11046858;0.079311587;0.65053916
0.21578619;0.11102857;0.07580395;0.56243193
0.3826291;0.077538013;0.072889194;0.42021674
0.21578619;0.045302428;0.053381469;0.27994698
0.21578619;0.013498371;0.015815936;0.27210698
0.3826291;0;0;0.27663144
0.3826291;0;0;0.29392412
0.3826291;0;0;0.33154005
0.3826291;0;0;0.37218875
0.50638217;0;0;0.41535673
0.63151431;0;0;0.4190332
0.75526738;0;0;0.42270976
1;0;0;0.42755127
1;0;0;0.47065926
1;0;0;0.51376736
1;0;0;0.55687535
1;0;0;0.61550498
0.99999356;0;0;0.67413461
0.99998224;0;0;0.7327643
0.9999516;0;0;0.78318393
0.99988651;0;0;0.83316481
0.99978185;0;0;0.8815788
0.99956572;0.038816001;0.045369677;0.90397799
0.99918342;0.098173946;0.10515948;0.92378533
0.99859887;0.14258914;0.086998343;0.93988299
0.99764317;0.17914857;0.09416227;0.9629035
0.9954325;0.15627082;0.12751958;0.97820014
0.99053347;0.12271325;0.1416679;0.98706245
0.98196262;0.033082612;0.042564183;0.99303931
0.97001332;0;0;0.9965893
0.95053446;0;0;0.99900389
0.92357993;0;0;1
0.88859415;0;0;1
0.8511706;0;0;1
0.8144061;0;0;1
0.77475399;0;0;1
0.73676652;0;0;0.99999142
0.68935251;0;0;1
0.61314046;0;0;1
0.50665438;0;0;1
0.39952427;0;0;0.99986231
0.32399651;0;0;0.99942446
0.292319;0;0;0.99862039
0.30837631;0;0;0.99716967
0.36062092;0;0;0.99561435
0.43166798;0;0;0.99466741
0.53111261;0.074530289;0.083371706;0.99369442
0.63105267;0.18557069;0.17980039;0.99149525
0.71552145;0.26955342;0.1493257;0.98890448
0.78780431;0.2522544;0.12622061;0.98922634
0.85179478;0.17801046;0.13960534;0.98923826
0.887555;0.093671128;0.098648429;0.98773521
0.91212916;0.025510177;0.029912919;0.98612416
0.94048488;0;0;0.98457682
0.96761632;0;0;0.98299885
0.98283231;0;0;0.98729336
0.99200332;0;0;0.99001884
0.99681771;0;0;0.99158424
0.99889195;0;0;0.9941963
0.99964488;0;0;0.99584353
0.9997704;0;0;0.99662578
0.99866486;0;0;0.99691474
0.99529678;0;0;0.99679935
0.99470556;0;0;0.99671102
0.99575955;0;0;0.99481988
0.99603093;0;0;0.99036038
0.99517202;0;0;0.98213732
0.99395812;0;0;0.97937882
0.99255592;0;0;0.97301972
0.98859406;0;0;0.95748127
0.98050183;0.02716315;0.031656466;0.95353091
0.96565115;0.049239069;0.056383766;0.94573867
0.94011348;0.031741828;0.027975975;0.93252325
0.90511453;0.035530258;0.029302508;0.92946297
0.83886719;0.028959386;0.026886974;0.92479223
0.77439845;0.014002245;0.018224595;0.9182871
0.74038148;0.009289369;0.010479985;0.91151226
0.79225034;0;0;0.90368938
0.88780481;0;0;0.89660048
0.93599379;0;0;0.89477521
0.96098858;0;0;0.89284074
0.96898454;0;0;0.88980079
0.97811198;0;0;0.89362031
0.98811769;0;0;0.89713633
0.99222553;0;0;0.90032685
0.98999441;0;0;0.90110254
0.97386086;0;0;0.90174478
0.93104768;0;0;0.90231538
0.85527414;0;0;0.9026531
0.76298249;0;0;0.9029206
0.65688127;0;0;0.90291405
0.54041016;0;0;0.90392196
0.43718699;0;0;0.90484679
0.37945676;0;0;0.90561193
0.40021524;0.041313149;0.047266856;0.90620697
0.50856429;0.063122585;0.068686746;0.90676802
0.66182482;0.044484407;0.038538203;0.90729868
0.80178159;0.067798078;0.051643904;0.90926206
0.87233353;0.086265072;0.068149909;0.91139281
0.89351141;0.074006341;0.090215728;0.91364312
0.89840865;0.033553071;0.040197738;0.91231811
0.89715958;0;0;0.91049272
0.90080428;0;0;0.90772969
0.88238853;0;0;0.90253037
0.81785727;0;0;0.89620566
0.74117208;0;0;0.88920128
0.66907215;0;0;0.88442457
0.58212489;0;0;0.8798126
0.47068253;0;0;0.87559861
0.35816506;0;0;0.87284422
0.28233966;0;0;0.87013257
0.27470803;0;0;0.86789948
0.29786754;0;0;0.87030554
0.37828419;0;0;0.87298918
0.55499047;0;0;0.87541795
0.75460017;0;0;0.89362562
0.89844149;0;0;0.90953457
0.96623605;0;0;0.92286825
0.98968279;0.068095289;0.077942401;0.94918019
0.99725854;0.16814341;0.16740955;0.96424019
0.99936724;0.25205362;0.1454321;0.97148508
0.99983031;0.2254039;0.12559001;0.98571992
0.99993169;0.16197461;0.12342031;0.99157727
0.9999609;0.074101083;0.087624721;0.99404657
0.99997103;0.041434605;0.045921639;0.99559927
0.99993426;0;0;0.99623299
0.99906051;0;0;0.99675798
0.99429965;0;0;0.99785829
0.98668134;0;0;0.99835968
0.98218924;0;0;0.9969449
0.98258865;0;0;0.99624741
0.98928285;0;0;0.99517781
0.99341911;0;0;0.99410725
0.99553025;0;0;0.9952184
0.9967286;0;0;0.99584943
0.99813962;0;0;0.99597883
0.99880064;0;0;0.99781966
0.99901026;0;0;0.99863207
0.99948895;0;0;0.9991616
0.99958068;0;0;0.99954331
0.99960452;0;0;0.99649024
0.99979389;0;6.15E-05;0.98493683
0.99993926;0.059669659;0.069501877;0.97064102
0.99998081;0.10889111;0.1130485;0.94922692
0.9999938;0.12097149;0.090349689;0.92168218
1;0.13067511;0.08784385;0.8841635
1;0.10386829;0.08490596;0.83771944
0.99999166;0.057513077;0.070179425;0.78572434
0.99996728;0.040085375;0.044059265;0.75845629
0.99980825;0;0;0.72988307
0.99924493;0;0;0.69961596
0.99880928;0;0;0.67585164
0.99796194;0;0;0.65208721
0.99790102;0;0;0.6283229
0.99905074;0;0;0.59586221
0.99990177;0;0;0.56340152
0.99986678;0;0;0.53094077
0.99994904;0;0;0.49881425
0.99998051;0;0;0.46668768
0.99999195;0;0;0.43456116
1;0;0;0.38383782
1;0;0;0.33340156
1;0;0;0.28442329
1;0;0;0.22285576
1;0;0;0.16445151
1;0;6.46E-05;0.11260487
1;0.040530339;0.04748217;0.09592022
1;0.069467448;0.073035665;0.079390272
1;0.058089644;0.039089799;0.066056363
1;0.060007699;0.03873881;0.088009581
1;0.049320515;0.037827231;0.1177453
1;0.026257899;0.032047424;0.14891107
1;0.022812584;0.025251387;0.21196224
