wind;pvo;pva;wave
0.17008202;0;0.001540642;0.8947593
0.15936515;0.009214186;0.0935524;0.88813591
0.1528928;0.118882362;0.15892594;0.88142908
0.164322;0.128725125;0.143448205;0.87470174
0.22799455;0.155863665;0.164156493;0.88520503
0.26549143;0.157302887;0.163023226;0.89407712
0.3030332;0.136391734;0.140776791;0.9020716
0.33213601;0.133790949;0.137856535;0.91755605
0.29447398;0.122383832;0.126143037;0.9259671
0.23317258;0.10423272;0.107681129;0.93049562
0.27980092;0.132258148;0.137158864;0.93487096
0.34221184;0.144264073;0.152193702;0.93896496
0.42452359;0.134169172;0.150461392;0.94200945
0.56167614;0.064673656;0.094506557;0.93931603
0.72248632;0.000238107;0.046009845;0.93259394
0.82309443;0.000230795;0.006685228;0.92652178
0.87353271;0;0;0.92382896
0.90477055;0;0;0.91821331
0.90443319;0;0;0.90732634
0.89220673;0;0;0.90832496
0.89354116;0;0;0.90650314
0.87696391;0;0;0.89384252
0.85116953;0;0;0.89079815
0.80567628;0;0;0.88545179
0.752608;0;0.028734259;0.87780178
0.73321062;0.000645726;0.233767495;0.87714887
0.78814185;0.133867995;0.321665287;0.87500858
0.86003757;0.219938511;0.270487182;0.87318212
0.93178284;0.347833707;0.392762154;0.87748086
0.9742493;0.476773971;0.504174327;0.88186574
0.99195945;0.596127911;0.593200245;0.88625574
0.99585128;0.495738605;0.49135958;0.89133
0.99688679;0.361868929;0.367414532;0.8962056
0.99825382;0.217814935;0.224209552;0.90101087
0.99923086;0.206671653;0.21396229;0.90166074
0.99961573;0.181860084;0.192151947;0.90205461
0.99965739;0.142751579;0.160678804;0.90231693
0.99966639;0.06847988;0.101157568;0.90043646
0.99964297;0.000379185;0.048928627;0.8979466
0.99962318;0.0002913;0.007248224;0.89434886
0.9995966;0;0;0.89358324
0.9995712;0;0;0.89381993
0.99956429;0;0;0.89477706
0.99943328;0;0;0.89727223
0.99949682;0;0;0.89961684
0.9996385;0;0;0.90129936
0.99979317;0;0;0.90833604
0.99990439;0;0;0.91430652
1;0;0.000507863;0.91760373
1;0.006123253;0.079731666;0.93004715
1;0.101449116;0.132346996;0.9382875
1;0.087916459;0.09746117;0.94388807
0.99994522;0.149814986;0.157920905;0.95075428
0.99967235;0.215248113;0.22279089;0.95635623
0.9992398;0.278696255;0.285849625;0.96021974
0.99819177;0.264576822;0.271143059;0.96644425
0.99787211;0.23277684;0.239001039;0.97158575
0.9985103;0.188619276;0.194342155;0.97593856
0.99942106;0.156623883;0.162311465;0.98213315
0.99952722;0.118997634;0.125412379;0.9865092
0.99951822;0.079314359;0.087933906;0.98941505
0.99932355;0.038089454;0.053222701;0.99169064
0.99929339;0;0.024918469;0.99300206
0.99864453;0;0.001528376;0.99378586
0.99764979;0;0;0.99365604
0.99790627;0;0;0.99352002
0.99441671;0;0;0.99319625
0.99288106;0;0;0.99335253
0.99626511;0;0;0.99276471
0.99790233;0;0;0.99143445
0.99811286;0;0;0.98899627
0.99806762;0;0;0.98590446
0.99804914;0;0.019558777;0.98223829
0.9983058;0.0003182;0.291647648;0.98392403
0.99883658;0.172536804;0.605537164;0.98514163
0.99916297;0.389903287;0.734391938;0.98602808
0.9991194;0.590964475;0.818944634;0.989878
0.99914014;0.755104558;0.852561495;0.99282908
0.99898636;0.871280117;0.858732679;0.99481475
0.99899393;0.883074246;0.814943712;0.99513865
0.99891406;0.836748926;0.776054708;0.99542439
0.99892825;0.742480147;0.732933248;0.99573004
0.99900198;0.658424029;0.731125832;0.99583983
0.99893534;0.534681439;0.722557661;0.99585664
0.99838507;0.377460463;0.692950757;0.99583304
0.99779236;0.155854437;0.55368571;0.99538326
0.99592733;0.000851321;0.293792926;0.99485707
0.9930585;0.004269971;0.042707821;0.99418759
0.9924224;0;0;0.99327242
0.99491328;0;0;0.99220645
0.99628323;0;0;0.99106658
0.99764401;0;0;0.99054086
0.99779505;0;0;0.9896065
0.99735498;0;0;0.98838907
0.99540854;0;0;0.98549604
0.98958313;0;0;0.98214608
0.97650814;0;0.008352028;0.97820163
0.96042949;0.00041258;0.202130884;0.97195303
0.95354575;0.130535555;0.300710054;0.96459556
0.9741714;0.217232448;0.269253315;0.95595658
0.98724973;0.285856434;0.30934817;0.95212424
0.99340165;0.318368034;0.329323067;0.94675583
0.99784559;0.317648857;0.324674661;0.94071484
0.99964917;0.300693607;0.307184187;0.94548059
1;0.263475858;0.269982711;0.94959867
1;0.212409618;0.218622598;0.95288432
1;0.175254521;0.181468764;0.97273505
1;0.132211891;0.139285982;0.98288453
1;0.087372482;0.096778987;0.98989475
1;0.041933966;0.058448585;0.99561381
1;0;0.027291026;0.9966799
1;0;0.001930236;0.99655426
0.99971002;0;0;0.99604857
0.99947566;0;0;0.99542141
0.99858755;0;0;0.99428803
0.99604583;0;0;0.98990279
0.98520923;0;0;0.98361236
0.96622282;0;0;0.97694933
0.95452136;0;0;0.97329724
