wind;pvo;pva;wave
0.20119743;0.30750149;0.32526624;0.57096696
0.22742367;0.38309437;0.39816928;0.56520748
0.25358981;0.44270247;0.45557839;0.5594095
0.26096186;0.47365123;0.50122535;0.55362403
0.255779;0.42859361;0.51109362;0.54987347
0.23976479;0.34059095;0.52800047;0.54619384
0.21817581;0.20334119;0.53248739;0.5425992
0.19365562;0.03164117;0.37120748;0.53880668
0.16894592;0.038445614;0.15085286;0.53503799
0.15061751;0;0;0.53126889
0.13034183;0;0;0.53763902
0.11409472;0;0;0.54386079
0.10349169;0;0;0.54987365
0.095189169;0;0;0.55114245
0.083800763;0;0;0.55208892
0.064932734;0;0;0.55301756
0.04570131;0;0;0.54843569
0.027294284;0;0;0.54387927
0.013221243;0.000199281;0.13676727;0.53930384
0.009192435;0.070246786;0.2589885;0.53758848
0.009705122;0.2371496;0.4095307;0.53584301
0.010789601;0.34171456;0.46791893;0.53410828
0.011267348;0.53307772;0.57915866;0.53045177
0.010552538;0.71165055;0.72977614;0.52670503
0.009029135;0.96759421;0.90023929;0.52288401
0.00883835;0.96061254;0.87201172;0.51960206
0.011745153;0.89640045;0.85084933;0.51630557
0.018364904;0.78267771;0.82782871;0.51300776
0.023181871;0.59670752;0.75135374;0.51279008
0.020379834;0.39510921;0.63872075;0.5125497
0.013286688;0.19808808;0.48410594;0.51229453
0.006809209;0.030085308;0.3323074;0.51448268
0.003097516;0.035012003;0.13114329;0.51667631
0.00223463;0;0;0.51882333
0.003227541;0;0;0.51852632
0.014001746;0;0;0.51812321
0.030738985;0;0;0.51747495
0.056281134;0;0;0.52162588
0.084047511;0;0;0.52413255
0.11579566;0;0;0.52224398
0.18144928;0;0;0.52684081
0.26028004;0;0;0.53105611
0.30484477;0.005532513;0.044472564;0.53510451
0.32454577;0.068999842;0.18445699;0.53315127
0.33723709;0.19691637;0.25023109;0.53071976
0.34854349;0.22540447;0.23957439;0.52772188
0.361101;0.26516616;0.29841131;0.53360444
0.36507002;0.27555615;0.27606714;0.53914714
0.36141264;0.21501553;0.20647132;0.54276907
0.37830603;0.22886872;0.22608835;0.54449254
0.41880676;0.23009434;0.23401268;0.54615015
0.47820923;0.21826017;0.22902478;0.54763991
0.56007868;0.17323577;0.1827558;0.54960585
0.62717342;0.12249734;0.13312462;0.55092186
0.65993941;0.06815324;0.085572176;0.552136
0.68211895;0.008989423;0.066630274;0.5515871
0.69480991;0.013436591;0.024783682;0.55103385
0.6680249;0;0;0.55049342
0.62043107;0;0;0.55247235
0.58740366;0;0;0.55272269
0.52493143;0;0;0.55088305
0.41891709;0;0;0.54644483
0.30709857;0;0;0.54201877
0.20928256;0;0;0.53773969
0.18062155;0;0;0.53566402
0.19609809;0;0;0.53351271
0.20821106;0.005678208;0.012768943;0.53130555
0.20618923;0.05135794;0.10410164;0.52867103
0.20333721;0.14101833;0.15673463;0.52607661
0.17413826;0.1533695;0.15404165;0.52347142
0.16660835;0.22099237;0.21733561;0.52596831
0.17988178;0.2830492;0.27854759;0.52849108
0.18469252;0.34191978;0.33365935;0.5308823
0.16877685;0.37705547;0.37084499;0.52708495
0.14552613;0.39267945;0.39109969;0.52323836
0.13493575;0.38548225;0.39499807;0.51924616
0.12129106;0.30128196;0.32458231;0.51327747
0.11557321;0.21003321;0.2461372;0.50736046
0.11490848;0.11587186;0.16828623;0.50028789
0.11973616;0.02731014;0.13900284;0.49597821
0.11322011;0.038559429;0.053386353;0.49134558
0.077672713;0;0;0.48641151
0.059021775;0;0;0.49012539
0.060550652;0;0;0.4937833
